Detector, Descriptor, Image id, No matched keypoints in ROI, TTC lidar, TTC camera
SHITOMASI,BRISK,0,0,nan,nan
SHITOMASI,BRISK,1,59,12.9722,14.1119
SHITOMASI,BRISK,2,59,12.264,12.9876
SHITOMASI,BRISK,3,58,13.9161,13.4904
SHITOMASI,BRISK,4,63,7.11572,12.398
SHITOMASI,BRISK,5,63,16.2511,12.6754
SHITOMASI,BRISK,6,61,12.4213,14.5029
SHITOMASI,BRISK,7,64,34.3404,12.9117
SHITOMASI,BRISK,8,58,9.34376,15.5997
SHITOMASI,BRISK,9,66,18.1318,11.5126
SHITOMASI,BRISK,10,57,18.0318,14.685
SHITOMASI,BRISK,11,60,3.83244,11.3024
SHITOMASI,BRISK,12,78,nan,11.6524
SHITOMASI,BRISK,13,75,9.22307,11.7243
SHITOMASI,BRISK,14,75,10.9678,11.5069
SHITOMASI,BRISK,15,64,8.09422,9.33785
SHITOMASI,BRISK,16,63,3.17535,11.3079
SHITOMASI,BRISK,17,66,nan,11.4487
SHITOMASI,BRISK,18,71,8.30978,9.12792
SHITOMASI,BRIEF,0,0,nan,nan
SHITOMASI,BRIEF,1,77,12.9722,13.8948
SHITOMASI,BRIEF,2,88,12.264,13.1487
SHITOMASI,BRIEF,3,86,13.9161,12.8187
SHITOMASI,BRIEF,4,81,7.11572,13.3479
SHITOMASI,BRIEF,5,85,16.2511,12.1886
SHITOMASI,BRIEF,6,75,12.4213,14.1323
SHITOMASI,BRIEF,7,94,34.3404,18.3368
SHITOMASI,BRIEF,8,99,9.34376,12.3793
SHITOMASI,BRIEF,9,80,18.1318,11.9106
SHITOMASI,BRIEF,10,85,18.0318,13.3448
SHITOMASI,BRIEF,11,71,3.83244,12.1365
SHITOMASI,BRIEF,12,90,nan,11.848
SHITOMASI,BRIEF,13,101,9.22307,12.0205
SHITOMASI,BRIEF,14,81,10.9678,12.1773
SHITOMASI,BRIEF,15,84,8.09422,11.7948
SHITOMASI,BRIEF,16,92,3.17535,10.7212
SHITOMASI,BRIEF,17,85,nan,11.1503
SHITOMASI,BRIEF,18,96,8.30978,7.75039
SHITOMASI,ORB,0,0,nan,nan
SHITOMASI,ORB,1,70,12.9722,13.8003
SHITOMASI,ORB,2,69,12.264,13.7007
SHITOMASI,ORB,3,81,13.9161,11.6626
SHITOMASI,ORB,4,78,7.11572,12.1506
SHITOMASI,ORB,5,84,16.2511,12.2747
SHITOMASI,ORB,6,76,12.4213,14.0207
SHITOMASI,ORB,7,79,34.3404,13.8434
SHITOMASI,ORB,8,92,9.34376,12.1848
SHITOMASI,ORB,9,82,18.1318,11.274
SHITOMASI,ORB,10,81,18.0318,13.1345
SHITOMASI,ORB,11,76,3.83244,11.3027
SHITOMASI,ORB,12,82,nan,12.269
SHITOMASI,ORB,13,93,9.22307,12.3002
SHITOMASI,ORB,14,76,10.9678,12.7031
SHITOMASI,ORB,15,82,8.09422,10.2642
SHITOMASI,ORB,16,79,3.17535,12.2258
SHITOMASI,ORB,17,83,nan,11.5605
SHITOMASI,ORB,18,89,8.30978,8.99642
SHITOMASI,FREAK,0,0,nan,nan
SHITOMASI,FREAK,1,57,12.9722,13.6546
SHITOMASI,FREAK,2,54,12.264,13.1487
SHITOMASI,FREAK,3,59,13.9161,11.0399
SHITOMASI,FREAK,4,62,7.11572,12.9209
SHITOMASI,FREAK,5,66,16.2511,12.5939
SHITOMASI,FREAK,6,64,12.4213,14.2385
SHITOMASI,FREAK,7,66,34.3404,12.8908
SHITOMASI,FREAK,8,66,9.34376,12.8515
SHITOMASI,FREAK,9,67,18.1318,11.6077
SHITOMASI,FREAK,10,61,18.0318,13.203
SHITOMASI,FREAK,11,51,3.83244,11.9293
SHITOMASI,FREAK,12,75,nan,11.7855
SHITOMASI,FREAK,13,67,9.22307,12.26
SHITOMASI,FREAK,14,65,10.9678,11.5161
SHITOMASI,FREAK,15,65,8.09422,10.1
SHITOMASI,FREAK,16,60,3.17535,13.4725
SHITOMASI,FREAK,17,67,nan,11.6181
SHITOMASI,FREAK,18,68,8.30978,9.52513
SHITOMASI,SIFT,0,0,nan,nan
SHITOMASI,SIFT,1,71,12.9722,14.0747
SHITOMASI,SIFT,2,77,12.264,14.5897
SHITOMASI,SIFT,3,82,13.9161,12.9992
SHITOMASI,SIFT,4,81,7.11572,13.016
SHITOMASI,SIFT,5,81,16.2511,12.5939
SHITOMASI,SIFT,6,75,12.4213,14.1323
SHITOMASI,SIFT,7,87,34.3404,12.7975
SHITOMASI,SIFT,8,82,9.34376,14.5085
SHITOMASI,SIFT,9,78,18.1318,12.2319
SHITOMASI,SIFT,10,88,18.0318,13.3599
SHITOMASI,SIFT,11,76,3.83244,11.5611
SHITOMASI,SIFT,12,94,nan,11.6524
SHITOMASI,SIFT,13,90,9.22307,12.0767
SHITOMASI,SIFT,14,81,10.9678,12.4718
SHITOMASI,SIFT,15,86,8.09422,12.3292
SHITOMASI,SIFT,16,82,3.17535,11.9908
